id,town,rate2040,rate2013
12206,木更津市,0.00 ,0.00 
12207,松戸市,0.00 ,0.00 
12208,野田市,0.00 ,0.00 
12210,茂原市,7.14 ,0.00 
12211,成田市,6.90 ,6.90 
12212,佐倉市,0.00 ,0.00 
12213,東金市,0.00 ,0.00 
12215,旭市,0.00 ,0.00 
12216,習志野市,0.00 ,0.00 
12217,柏市,0.00 ,0.00 
12218,勝浦市,28.57 ,0.00 
12219,市原市,4.65 ,4.65 
12220,流山市,0.00 ,0.00 
12221,八千代市,0.00 ,0.00 
12222,我孫子市,0.00 ,0.00 
12223,鴨川市,0.00 ,0.00 
12224,鎌ケ谷市,0.00 ,0.00 
12225,君津市,11.76 ,0.00 
12226,富津市,33.33 ,8.33 
12227,浦安市,0.00 ,0.00 
12228,四街道市,0.00 ,0.00 
12229,袖ケ浦市,12.50 ,12.50 
12230,八街市,11.11 ,0.00 
12231,印西市,0.00 ,0.00 
12232,白井市,0.00 ,0.00 
12233,富里市,12.50 ,0.00 
12234,南房総市,16.67 ,0.00 
12235,匝瑳市,9.09 ,0.00 
12236,香取市,20.83 ,4.17 
12237,山武市,7.69 ,0.00 
12238,いすみ市,9.09 ,0.00 
12239,大網白里市,0.00 ,0.00 
12322,印旛郡酒々井町,0.00 ,0.00 
12329,印旛郡栄町,33.33 ,0.00 
12342,香取郡神崎町,50.00 ,0.00 
12347,香取郡多古町,20.00 ,0.00 
12349,香取郡東庄町,0.00 ,0.00 
12403,山武郡九十九里町,0.00 ,0.00 
12409,山武郡芝山町,66.67 ,33.33 
12410,山武郡横芝光町,28.57 ,0.00 
12421,長生郡一宮町,0.00 ,0.00 
12422,長生郡睦沢町,50.00 ,0.00 
12423,長生郡長生村,0.00 ,0.00 
12424,長生郡白子町,0.00 ,0.00 
12426,長生郡長柄町,0.00 ,0.00 
12427,長生郡長南町,25.00 ,0.00 
12441,夷隅郡大多喜町,50.00 ,0.00 
12443,夷隅郡御宿町,50.00 ,0.00 
12463,安房郡鋸南町,50.00 ,0.00 
13101,千代田区,0.00 ,0.00 
13102,中央区,0.00 ,0.00 
13103,港区,0.00 ,0.00 
13104,新宿区,0.00 ,0.00 
13105,文京区,0.00 ,0.00 
13106,台東区,0.00 ,0.00 
13107,墨田区,0.00 ,0.00 
13108,江東区,0.00 ,0.00 
13109,品川区,0.00 ,0.00 
13110,目黒区,0.00 ,0.00 
13111,大田区,0.00 ,0.00 
13112,世田谷区,0.00 ,0.00 
13113,渋谷区,0.00 ,0.00 
13114,中野区,0.00 ,0.00 
13115,杉並区,0.00 ,0.00 
13116,豊島区,0.00 ,0.00 
13117,北区,2.63 ,0.00 
13118,荒川区,0.00 ,0.00 
13119,板橋区,0.00 ,0.00 
13120,練馬区,0.00 ,0.00 
13121,足立区,0.00 ,0.00 
13122,葛飾区,0.00 ,0.00 
13123,江戸川区,0.00 ,0.00 
13201,八王子市,1.43 ,1.43 
13202,立川市,0.00 ,0.00 
13203,武蔵野市,0.00 ,0.00 
13204,三鷹市,0.00 ,0.00 
13205,青梅市,5.88 ,5.88 
13206,府中市,0.00 ,0.00 
13207,昭島市,0.00 ,0.00 
13208,調布市,0.00 ,0.00 
13209,町田市,0.00 ,0.00 
13210,小金井市,0.00 ,0.00 
13211,小平市,0.00 ,0.00 
13212,日野市,0.00 ,0.00 
13213,東村山市,0.00 ,0.00 
13214,国分寺市,0.00 ,0.00 
13215,国立市,0.00 ,0.00 
13218,福生市,0.00 ,0.00 
13219,狛江市,0.00 ,0.00 
13220,東大和市,0.00 ,0.00 
13221,清瀬市,0.00 ,0.00 
13222,東久留米市,0.00 ,0.00 
13223,武蔵村山市,0.00 ,0.00 
13224,多摩市,0.00 ,0.00 
13225,稲城市,0.00 ,0.00 
13227,羽村市,0.00 ,0.00 
13228,あきる野市,0.00 ,0.00 
13229,西東京市,0.00 ,0.00 
13303,西多摩郡瑞穂町,0.00 ,0.00 
13305,西多摩郡日の出町,0.00 ,0.00 
13307,西多摩郡檜原村,100.00 ,0.00 
13308,西多摩郡奥多摩町,100.00 ,0.00 
13361,大島町,0.00 ,0.00 
13362,利島村,100.00 ,100.00 
13363,新島村,50.00 ,50.00 
13364,神津島村,0.00 ,0.00 
13381,三宅村,0.00 ,0.00 
13382,御蔵島村,100.00 ,100.00 
13401,八丈町,0.00 ,0.00 
13402,青ヶ島村,100.00 ,100.00 
13421,小笠原村,50.00 ,50.00 
